City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Matay,EG,82.38,clear sky,28.419,30.7792,Nag Aespen
582,Arcata,US,75.2,overcast clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
585,San Pedro De Uraba,CO,76.01,overcast clouds,8.2752,-76.3764,Hotel La Gran Manzana
588,Dahuk,IQ,81.07,clear sky,36.8695,42.994,Parwar Hotel
596,Aklavik,CA,75.56,scattered clouds,68.2191,-135.0107,Aklavik Inn
597,Kano,NG,76.15,overcast clouds,12.0001,8.5167,Royal Tropicana Hotel
599,Suntar,RU,80.71,clear sky,62.1444,117.6319,Гостевая квартира
601,Mangrol,IN,81.95,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
602,Hirado,JP,78.12,few clouds,33.3597,129.5531,Samson Hotel
610,Noumea,NC,75.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
612,Auki,SB,85.8,few clouds,-8.7676,160.7034,Auki Motel
613,Fenyi,CN,87.58,broken clouds,27.8112,114.6681,Jinhao Hotel
616,Gibara,CU,81.68,overcast clouds,21.1097,-76.1317,Sol y Mar
617,Esna,EG,86.2,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
619,Bontang,ID,77.4,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
620,Hirara,JP,84.2,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
623,Santiago De Cuba,CU,77.52,broken clouds,20.0247,-75.8219,Cubanacan San Felix
624,Eydhafushi,MV,80.08,overcast clouds,5.1033,73.0708,Soneva Fushi
628,Cockburn Town,TC,81.88,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
638,Abu Zabad,SD,78.4,broken clouds,12.35,29.25,حامد محمد نور
642,Pundaguitan,PH,82.85,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
644,Cuiluan,CN,75.61,clear sky,47.72,128.648,Shuncheng Hotel
645,Dwarka,IN,82.65,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
649,Iwanai,JP,78.37,clear sky,42.9744,140.5089,いわない高原ホテル
655,Shimoda,JP,81.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
658,Buraydah,SA,87.44,broken clouds,26.326,43.975,Mövenpick Qassim
661,Patnagarh,IN,76.57,overcast clouds,20.7167,83.15,VISHAL STUDIO
666,Morant Bay,JM,83.82,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
667,Lock Haven,US,82.29,scattered clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
669,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
670,Khash,IR,75.29,light rain,28.2211,61.2158,خوابگاه آبجی محدثه
